Number  Name
1   2-Chloro-3-pyridylcarboxaldehyde
2   2,4,6-Trihydroxybenzaldehyde
3   4-(Diethylamino)salicylaldehyde
4   Furfural
5   9-Anthraldehyde
6   5-Bromo-2-fluorobenzaldehyde
7   5-Methylthiophene-2-carboxaldehyde
8   3-Hydroxy-4-Nitrobenzaldehyde
9   5-Hydroxy-2-nitrobenzaldehyde
10  4-Acetoxy-3-methoxybenzaldehyde
11  6-Bromo-benzo[1,3]dioxole-5-carbaldehyde
12  2,5-Dichlorobenzaldehyde
13  3,5-Dibromosalicylaldehyde
14  4-isopropylbenzaldehyde
15  Methyl_2-formylbenzoate
16  4-Methyl-5-thiazolecarboxaldehyde
17  4-Fluorobenzaldehyde
18  4-Fluoro-3-nitrobenzaldehyde
19  2-Hydroxy-3-methyl-benzaldehyde
20  Ethyl_vanillin

